orb_period,xit_duration,xit_depth,body_r_per_stellar_r_rat,body_r,orb_semimajor,inc,body_temp,body_insolation_flux,stellar_temp,stellar_r,stellar_m,kepler_status
0.532854237,3.231,0.00685,1.21,0.0133,60.98,3042,20292.47,1.275,6266,1.613,1.108,2
0.566792936,2.846,0.004525,0.79,0.0133,72.22,3114,22251.32,1.529,6432,1.603,0.977,2
0.5668004,3.813,0.009229,0.88,0.0133,60.78,2222,5739.87,1.214,6215,0.872,0.968,2
0.566793614,5.723,0.007232,21.63,0.0133,20.63,7584,781981.98,1.011,3789,27.384,0.969,2
0.566807725,2.16,0.004986,0.94,0.0133,85.73,2524,9645.51,2.081,5018,1.734,0.985,2
0.528755447,5.714,0.223797,47.75,0.0134,10.53,3271,27241.45,1.224,6151,1.954,1.158,2
1.85373924,1.816,0.01786,0.23,0.0134,85.29,345,3.36,6.71,2661,0.116,0.094,2
0.542122617,1.283,0.008585,0.94,0.0134,88.11,2238,5914.13,3.2903,5875,0.998,1.088,2
0.566800926,4.407,0.020096,2.19,0.0134,20.83,2200,5563.01,1.0383,5780,1,1,2
0.54028956,3.619,0.197793,21.45,0.0134,12.6,2279,6356.72,1.21,5997,0.993,1.093,2
0.56679641,2.324,0.004693,0.46,0.0134,80.18,1940,3349.38,1.889,5403,0.888,0.998,2
